,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
199,2022-07-20T00:00:00Z,2022-07-21T00:00:00Z,,,,,1,1,Amsterdam,7
200,2022-07-21T00:00:00Z,2022-07-22T00:00:00Z,,,,,1,1,Amsterdam,7
201,2022-07-22T00:00:00Z,2022-07-23T00:00:00Z,,,,,1,1,Amsterdam,7
202,2022-07-23T00:00:00Z,2022-07-24T00:00:00Z,0.00012911648082081228,0.00012911648082081228,0.00012911648082081228,0.0,1,0,Amsterdam,7
203,2022-07-24T00:00:00Z,2022-07-25T00:00:00Z,5.059109753347002e-05,5.059109753347002e-05,5.059109753347002e-05,0.0,1,0,Amsterdam,7
204,2022-07-25T00:00:00Z,2022-07-26T00:00:00Z,,,,,1,1,Amsterdam,7
205,2022-07-26T00:00:00Z,2022-07-27T00:00:00Z,,,,,1,1,Amsterdam,7
206,2022-07-27T00:00:00Z,2022-07-28T00:00:00Z,,,,,1,1,Amsterdam,7
207,2022-07-28T00:00:00Z,2022-07-29T00:00:00Z,6.146422674646601e-05,6.146422674646601e-05,6.146422674646601e-05,0.0,1,0,Amsterdam,7
208,2022-07-29T00:00:00Z,2022-07-30T00:00:00Z,9.255020995624363e-05,9.255020995624363e-05,9.255020995624363e-05,0.0,1,0,Amsterdam,7
209,2022-07-30T00:00:00Z,2022-07-31T00:00:00Z,,,,,1,1,Amsterdam,7
210,2022-07-31T00:00:00Z,2022-08-01T00:00:00Z,,,,,1,1,Amsterdam,7
211,2022-08-01T00:00:00Z,2022-08-02T00:00:00Z,,,,,1,1,Amsterdam,8
212,2022-08-02T00:00:00Z,2022-08-03T00:00:00Z,,,,,1,1,Amsterdam,8
213,2022-08-03T00:00:00Z,2022-08-04T00:00:00Z,7.504795212298632e-05,7.504795212298632e-05,7.504795212298632e-05,0.0,1,0,Amsterdam,8
214,2022-08-04T00:00:00Z,2022-08-05T00:00:00Z,0.00012623560905922204,0.00012623560905922204,0.00012623560905922204,0.0,1,0,Amsterdam,8
215,2022-08-05T00:00:00Z,2022-08-06T00:00:00Z,,,,,1,1,Amsterdam,8
